Heure,IP source,IP destination,Flag,Seq,Length
11:42:06.683540,190-0-175-100.gba.solunet.com.ar.zebrasrv,184.107.43.74.http:,[S],"1570200442:1570200562,",120:
11:42:06.683557,190-0-175-100.gba.solunet.com.ar.zebra,184.107.43.74.http:,[S],"1478292369:1478292489,",120:
11:42:06.683573,190-0-175-100.gba.solunet.com.ar.ripd,184.107.43.74.http:,[S],"178640618:178640738,",120:
11:42:06.683589,190-0-175-100.gba.solunet.com.ar.ripngd,184.107.43.74.http:,[S],"1503505816:1503505936,",120:
11:42:06.683606,190-0-175-100.gba.solunet.com.ar.ospfd,184.107.43.74.http:,[S],"1661422384:1661422504,",120:
11:42:06.683622,190-0-175-100.gba.solunet.com.ar.bgpd,184.107.43.74.http:,[S],"369358272:369358392,",120:
11:42:06.683638,190-0-175-100.gba.solunet.com.ar.ospf6d,184.107.43.74.http:,[S],"64354808:64354928,",120:
11:42:06.683655,190-0-175-100.gba.solunet.com.ar.ospfapi,184.107.43.74.http:,[S],"884510772:884510892,",120:
11:42:06.683671,190-0-175-100.gba.solunet.com.ar.isisd,184.107.43.74.http:,[S],"1885396166:1885396286,",120:
11:42:06.683687,190-0-175-100.gba.solunet.com.ar.2609,184.107.43.74.http:,[S],"817987225:817987345,",120:
11:42:06.683704,190-0-175-100.gba.solunet.com.ar.2610,184.107.43.74.http:,[S],"2132864374:2132864494,",120:
11:42:06.683720,190-0-175-100.gba.solunet.com.ar.2611,184.107.43.74.http:,[S],"1242566005:1242566125,",120:
11:42:06.683738,190-0-175-100.gba.solunet.com.ar.2612,184.107.43.74.http:,[S],"1759567823:1759567943,",120:
11:42:06.683756,190-0-175-100.gba.solunet.com.ar.2613,184.107.43.74.http:,[S],"1151909946:1151910066,",120:
11:42:06.683779,190-0-175-100.gba.solunet.com.ar.2614,184.107.43.74.http:,[S],"1189070135:1189070255,",120:
11:42:06.683804,190-0-175-100.gba.solunet.com.ar.2615,184.107.43.74.http:,[S],"651075127:651075247,",120:
11:42:06.683824,190-0-175-100.gba.solunet.com.ar.2616,184.107.43.74.http:,[S],"1947905188:1947905308,",120:
11:42:06.683841,190-0-175-100.gba.solunet.com.ar.2617,184.107.43.74.http:,[S],"581296706:581296826,",120:
11:42:06.683857,190-0-175-100.gba.solunet.com.ar.2618,184.107.43.74.http:,[S],"66975375:66975495,",120:
11:42:06.683874,190-0-175-100.gba.solunet.com.ar.2619,184.107.43.74.http:,[S],"253927097:253927217,",120:
11:42:06.683890,190-0-175-100.gba.solunet.com.ar.2620,184.107.43.74.http:,[S],"1897592815:1897592935,",120:
11:42:06.683907,190-0-175-100.gba.solunet.com.ar.2621,184.107.43.74.http:,[S],"616917477:616917597,",120:
11:42:06.683924,190-0-175-100.gba.solunet.com.ar.2622,184.107.43.74.http:,[S],"1868567734:1868567854,",120:
11:42:06.683951,190-0-175-100.gba.solunet.com.ar.2623,184.107.43.74.http:,[S],"1986188842:1986188962,",120:
11:42:06.683970,190-0-175-100.gba.solunet.com.ar.2624,184.107.43.74.http:,[S],"1095894460:1095894580,",120:
11:42:06.683990,190-0-175-100.gba.solunet.com.ar.2625,184.107.43.74.http:,[S],"1890826048:1890826168,",120:
11:42:06.684009,190-0-175-100.gba.solunet.com.ar.2626,184.107.43.74.http:,[S],"194243508:194243628,",120:
11:42:06.684029,190-0-175-100.gba.solunet.com.ar.2627,184.107.43.74.http:,[S],"205737932:205738052,",120:
11:42:06.684048,190-0-175-100.gba.solunet.com.ar.dict,184.107.43.74.http:,[S],"569721151:569721271,",120:
11:42:06.684064,190-0-175-100.gba.solunet.com.ar.2629,184.107.43.74.http:,[S],"855051032:855051152,",120:
11:42:06.684080,190-0-175-100.gba.solunet.com.ar.2630,184.107.43.74.http:,[S],"499983177:499983297,",120:
11:42:06.684097,190-0-175-100.gba.solunet.com.ar.2631,184.107.43.74.http:,[S],"1074718027:1074718147,",120:
11:42:06.684113,190-0-175-100.gba.solunet.com.ar.2632,184.107.43.74.http:,[S],"1910064303:1910064423,",120:
11:42:06.684129,190-0-175-100.gba.solunet.com.ar.2633,184.107.43.74.http:,[S],"1037178976:1037179096,",120:
11:42:06.684146,190-0-175-100.gba.solunet.com.ar.2634,184.107.43.74.http:,[S],"2107051510:2107051630,",120:
11:42:06.684162,190-0-175-100.gba.solunet.com.ar.2635,184.107.43.74.http:,[S],"338653346:338653466,",120:
11:42:06.684178,190-0-175-100.gba.solunet.com.ar.2636,184.107.43.74.http:,[S],"396310051:396310171,",120:
11:42:06.684194,190-0-175-100.gba.solunet.com.ar.2637,184.107.43.74.http:,[S],"196892786:196892906,",120:
11:42:06.684210,190-0-175-100.gba.solunet.com.ar.2638,184.107.43.74.http:,[S],"624912323:624912443,",120:
11:42:06.684227,190-0-175-100.gba.solunet.com.ar.2639,184.107.43.74.http:,[S],"1418281182:1418281302,",120:
11:42:06.684243,190-0-175-100.gba.solunet.com.ar.2640,184.107.43.74.http:,[S],"1247502939:1247503059,",120:
11:42:06.684260,190-0-175-100.gba.solunet.com.ar.2641,184.107.43.74.http:,[S],"97958320:97958440,",120:
11:42:06.684276,190-0-175-100.gba.solunet.com.ar.2642,184.107.43.74.http:,[S],"1359696980:1359697100,",120:
11:42:06.684292,190-0-175-100.gba.solunet.com.ar.2643,184.107.43.74.http:,[S],"349835797:349835917,",120:
11:42:06.684309,190-0-175-100.gba.solunet.com.ar.2644,184.107.43.74.http:,[S],"367768365:367768485,",120:
11:42:06.684325,190-0-175-100.gba.solunet.com.ar.2645,184.107.43.74.http:,[S],"455081173:455081293,",120:
11:42:06.684341,190-0-175-100.gba.solunet.com.ar.2646,184.107.43.74.http:,[S],"1262849347:1262849467,",120:
11:42:06.684357,190-0-175-100.gba.solunet.com.ar.2647,184.107.43.74.http:,[S],"444010779:444010899,",120:
11:42:06.684374,190-0-175-100.gba.solunet.com.ar.2648,184.107.43.74.http:,[S],"727345824:727345944,",120:
11:42:06.684390,190-0-175-100.gba.solunet.com.ar.2649,184.107.43.74.http:,[S],"32346209:32346329,",120:
11:42:06.684406,190-0-175-100.gba.solunet.com.ar.2650,184.107.43.74.http:,[S],"760422680:760422800,",120:
11:42:06.684423,190-0-175-100.gba.solunet.com.ar.2651,184.107.43.74.http:,[S],"514200755:514200875,",120:
11:42:06.684439,190-0-175-100.gba.solunet.com.ar.2652,184.107.43.74.http:,[S],"2058081561:2058081681,",120:
11:42:06.684456,190-0-175-100.gba.solunet.com.ar.2653,184.107.43.74.http:,[S],"818181888:818182008,",120:
11:42:06.684472,190-0-175-100.gba.solunet.com.ar.2654,184.107.43.74.http:,[S],"928174225:928174345,",120:
11:42:06.684488,190-0-175-100.gba.solunet.com.ar.2655,184.107.43.74.http:,[S],"1336469386:1336469506,",120:
11:42:06.684504,190-0-175-100.gba.solunet.com.ar.2656,184.107.43.74.http:,[S],"1786409770:1786409890,",120:
11:42:06.684521,190-0-175-100.gba.solunet.com.ar.2657,184.107.43.74.http:,[S],"324755237:324755357,",120:
11:42:06.684537,190-0-175-100.gba.solunet.com.ar.2658,184.107.43.74.http:,[S],"1452211016:1452211136,",120:
11:42:06.684554,190-0-175-100.gba.solunet.com.ar.2659,184.107.43.74.http:,[S],"1443530962:1443531082,",120:
11:42:06.684570,190-0-175-100.gba.solunet.com.ar.2660,184.107.43.74.http:,[S],"1153766108:1153766228,",120:
11:42:06.684586,190-0-175-100.gba.solunet.com.ar.2661,184.107.43.74.http:,[S],"1082899630:1082899750,",120:
11:42:06.684603,190-0-175-100.gba.solunet.com.ar.2662,184.107.43.74.http:,[S],"158165907:158166027,",120:
11:42:06.684619,190-0-175-100.gba.solunet.com.ar.2663,184.107.43.74.http:,[S],"289629244:289629364,",120:
11:42:06.684635,190-0-175-100.gba.solunet.com.ar.2664,184.107.43.74.http:,[S],"366984968:366985088,",120:
11:42:06.684651,190-0-175-100.gba.solunet.com.ar.2665,184.107.43.74.http:,[S],"349800942:349801062,",120:
11:42:06.684668,190-0-175-100.gba.solunet.com.ar.2666,184.107.43.74.http:,[S],"576730512:576730632,",120:
11:42:06.684685,190-0-175-100.gba.solunet.com.ar.2667,184.107.43.74.http:,[S],"1444083729:1444083849,",120:
11:42:06.684702,190-0-175-100.gba.solunet.com.ar.2668,184.107.43.74.http:,[S],"1001269731:1001269851,",120:
11:42:06.684730,190-0-175-100.gba.solunet.com.ar.2669,184.107.43.74.http:,[S],"2020684489:2020684609,",120:
11:42:06.684748,190-0-175-100.gba.solunet.com.ar.2670,184.107.43.74.http:,[S],"1625641890:1625642010,",120:
11:42:06.684765,190-0-175-100.gba.solunet.com.ar.2671,184.107.43.74.http:,[S],"1063644873:1063644993,",120:
11:42:06.684781,190-0-175-100.gba.solunet.com.ar.2672,184.107.43.74.http:,[S],"432651757:432651877,",120:
11:42:06.684798,190-0-175-100.gba.solunet.com.ar.2673,184.107.43.74.http:,[S],"1092359524:1092359644,",120:
11:42:06.684814,190-0-175-100.gba.solunet.com.ar.2674,184.107.43.74.http:,[S],"1245120321:1245120441,",120:
11:42:06.684830,190-0-175-100.gba.solunet.com.ar.2675,184.107.43.74.http:,[S],"1258702515:1258702635,",120:
11:42:06.684859,190-0-175-100.gba.solunet.com.ar.2676,184.107.43.74.http:,[S],"1588187279:1588187399,",120:
11:42:06.684878,190-0-175-100.gba.solunet.com.ar.2677,184.107.43.74.http:,[S],"1348940311:1348940431,",120:
11:42:06.684897,190-0-175-100.gba.solunet.com.ar.2678,184.107.43.74.http:,[S],"984972391:984972511,",120:
11:42:06.684917,190-0-175-100.gba.solunet.com.ar.2679,184.107.43.74.http:,[S],"1223629343:1223629463,",120:
11:42:06.684936,190-0-175-100.gba.solunet.com.ar.2680,184.107.43.74.http:,[S],"2097257378:2097257498,",120:
11:42:06.684955,190-0-175-100.gba.solunet.com.ar.2681,184.107.43.74.http:,[S],"71311878:71311998,",120:
11:42:06.684974,190-0-175-100.gba.solunet.com.ar.2682,184.107.43.74.http:,[S],"2102444544:2102444664,",120:
